dataset,service,weight,stat_used,sim,n
BoT-IoT,__blend__,0.9978898777508297,blend_mass,0.15850627474044177,3668522
BoT-IoT,__blend__,0.9978898777508297,blend_mass,0.15850627474044177,3668522
CIC-IDS2017,__blend__,0.4416388067674228,blend_mass,0.5368552275895544,2830743
CSE-CIC-IDS2018,__blend__,0.31521129330183933,blend_mass,0.5447828592522852,16233002
HIKARI-2021,__blend__,0.9432863965238067,blend_mass,0.4947992467510538,555278
HIKARI-2021,__blend__,0.9432863965238067,blend_mass,0.4947992467510538,555278
HIKARI-2021,__blend__,0.9432863965238067,blend_mass,0.4947992467510538,555278
HIKARI-2021,__blend__,0.9432863965238067,blend_mass,0.4947992467510538,555278
HIKARI-2021,__blend__,0.9432863965238067,blend_mass,0.4947992467510538,555278
ToN-IoT,__blend__,0.9808760805457468,blend_mass,0.34813162242898144,211043
ToN-IoT,__blend__,0.9808760805457468,blend_mass,0.34813162242898144,211043
ToN-IoT,__blend__,0.9808760805457468,blend_mass,0.34813162242898144,211043
UNSW-NB15,__blend__,0.5901144801980198,blend_mass,0.3529911528955402,257673
